Location,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union - 27 countries (from 2020),0.211,0.214,0.219,0.222,0.2,0.238,0.2,0.2,0.239,0.259,0.273,0.278,0.282,0.284,0.3,0.309,0.321
European Union - 28 countries (2013-2020),0.205,0.209,0.215,0.217,0.225,0.232,0.234,0.236,0.236,0.253,0.267,0.272,0.3,0.282,0.298,0.306,0.317
Belgium,0.342,0.356,0.359,0.365,0.359,0.389,0.398,0.388,0.393,0.401,0.397,0.411,0.414,0.416,0.407,0.395,0.424
Bulgaria,0.259,0.3,0.213,0.213,0.218,0.217,0.217,0.221,0.221,0.2,0.246,0.204,0.196,0.192,0.259,0.254,0.271
Czechia,,0.137,0.147,0.147,0.142,0.149,0.179,0.207,0.213,0.203,0.189,0.192,0.196,0.203,0.214,0.2,0.206
Denmark,0.382,0.376,0.402,0.393,0.371,0.4,0.385,0.376,0.391,0.408,0.4,0.385,0.374,0.374,0.374,0.363,0.397
Germany ,0.309,0.308,0.3,0.319,0.317,0.307,0.314,0.315,0.324,0.325,0.357,0.366,0.362,0.371,0.317,0.314,0.317
Estonia,0.2,0.2,0.2,0.2,0.208,0.208,0.218,0.228,0.198,0.2,0.178,0.198,0.257,0.257,0.277,0.297,0.287
Ireland,0.137,0.129,0.143,0.129,0.155,0.2,0.163,0.155,0.2,0.189,0.199,0.199,0.201,0.243,0.243,0.243,0.243
Greece,0.1,0.1,0.1,0.127,0.143,0.2,0.2,0.2,0.173,0.2,0.2,0.2,0.197,0.183,0.183,0.183,0.217
Spain,0.286,0.316,0.3,0.307,0.317,0.333,0.338,0.346,0.287,0.372,0.372,0.377,0.399,0.383,0.388,0.395,0.419
France,0.116,0.141,0.159,0.147,0.183,0.198,0.2,0.204,0.203,0.246,0.248,0.3,0.263,0.262,0.363,0.4,0.371
Croatia,,,,,0.209,0.216,0.235,0.248,0.255,0.258,0.238,0.258,0.252,0.185,0.2,0.205,0.199
Italy,0.102,0.099,0.107,0.161,0.162,0.202,0.203,0.202,0.205,0.206,0.305,0.303,0.302,0.301,0.302,0.353,0.358
Cyprus,0.109,0.091,0.164,0.164,0.161,0.161,0.125,0.125,0.107,0.107,0.143,0.143,0.125,0.179,0.179,0.182,0.179
Latvia,0.202,0.172,0.212,0.192,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3
Lithuania,,0.221,0.229,0.221,0.234,0.234,0.187,0.191,0.191,0.237,0.241,0.236,0.241,0.213,0.206,0.2,0.241
Luxembourg,0.203,0.237,0.207,0.237,0.3,0.3,0.2,0.2,0.237,0.233,0.233,0.283,0.283,0.283,0.283,0.217,0.283
Hungary,0.096,0.088,0.088,0.101,0.112,0.109,0.112,0.088,0.088,0.091,0.094,0.101,0.101,0.101,0.101,0.126,0.122
Malta,,0.094,0.094,0.094,0.094,0.087,0.087,0.087,0.087,0.087,0.143,0.129,0.1,0.1,0.145,0.145,0.149
Netherlands,0.363,0.363,0.354,0.341,0.373,0.391,0.396,0.387,0.391,0.375,0.373,0.369,0.369,0.369,0.4,0.338,0.351
Austria,0.337,0.305,0.314,0.3,0.306,0.299,0.267,0.294,0.286,0.3,0.321,0.303,0.305,0.307,0.3,0.365,0.389
Poland,,0.215,0.211,0.181,0.186,0.181,0.179,0.175,0.2,0.2,0.223,0.215,0.246,0.255,0.259,0.261,0.279
Portugal,0.205,0.197,0.253,0.249,0.287,0.287,0.296,0.304,0.291,0.291,0.313,0.313,0.343,0.343,0.352,0.364,0.404
Romania,0.103,0.105,0.107,0.105,0.094,0.104,0.098,0.098,0.096,0.099,0.117,0.119,0.121,0.1,0.191,0.196,0.198
Slovenia,0.117,0.112,0.117,0.117,0.094,0.1,0.115,0.117,0.123,0.269,0.254,0.287,0.262,0.269,0.269,0.223,0.221
Slovakia,0.187,0.168,0.174,0.208,0.187,0.187,0.2,0.2,0.2,0.187,0.187,0.2,0.2,0.205,0.213,0.207,0.207
Finland,0.372,0.382,0.382,0.382,0.415,0.413,0.4,0.395,0.425,0.425,0.425,0.4,0.415,0.4,0.4,0.415,0.465
Sweden,0.5,0.479,0.489,0.474,0.473,0.464,0.464,0.456,0.5,0.436,0.444,0.436,0.436,0.458,0.461,0.467,0.476
Iceland,0.355,0.306,0.328,0.339,0.317,0.333,0.429,0.413,0.387,0.397,0.4,0.413,0.5,0.476,0.381,0.381,0.381
Liechtenstein,0.125,0.125,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1
Norway,0.368,0.4,0.355,0.347,0.349,0.361,0.385,0.391,0.396,0.396,0.385,0.387,0.396,0.396,0.408,0.408,0.408
Switzerland,,,,,,,,,,,,,,,,,
United Kingdom,0.172,0.179,0.191,0.191,0.196,0.196,0.199,0.215,0.2,0.223,0.2,0.237,0.272,0.276,0.287,0.289,0.295
Montenegro,,,,,,,,,,,,,0.173,0.235,0.235,0.235,0.296
North Macedonia,,,,,0.3,0.311,0.325,0.342,0.331,0.317,0.341,0.359,0.341,0.4,0.363,0.383,0.4
Albania,,,,,,,,,,,,,,,,0.293,0.303
Serbia,,,,,0.208,0.224,0.224,0.224,0.244,0.324,0.341,0.336,0.336,0.3,0.364,0.376,0.376
Turkey,,,0.044,0.026,0.091,0.091,0.1,0.089,0.144,0.144,0.144,0.144,0.149,0.147,0.1,0.174,0.173
Bosnia and Herzegovina,,,,,,,,,,,,,,,,0.238,0.211
Kosovo,,,,,,,,,,,,,,,,0.319,0.325
